Step,Generator,Discriminator,Real,Fake
0,-0.372696,0.0211339,-0.351563,0.372696
1,-6.17464e-08,8.59596e-09,-5.31504e-08,6.17464e-08
2,-6.84363e-08,1.57981e-08,-5.26382e-08,6.84363e-08
3,-6.60388e-08,1.42421e-08,-5.17967e-08,6.60388e-08
4,-6.11485e-08,6.42001e-09,-5.47284e-08,6.11485e-08
5,-6.13286e-08,3.27342e-09,-5.80552e-08,6.13286e-08
6,-6.05592e-08,1.3104e-08,-4.74552e-08,6.05592e-08
7,-5.37211e-08,5.57209e-09,-4.81491e-08,5.37211e-08
8,-3.82049e-08,1.4512e-08,-2.36929e-08,3.82049e-08
9,3.06146e-09,6.08038e-09,9.14185e-09,-3.06146e-09
10,6.7233e-08,1.87807e-09,6.91111e-08,-6.7233e-08
11,1.26907e-07,1.86522e-09,1.28772e-07,-1.26907e-07
12,1.30026e-07,1.48079e-09,1.31507e-07,-1.30026e-07
13,1.49833e-07,2.12006e-09,1.51953e-07,-1.49833e-07
14,1.49519e-07,2.31904e-09,1.51838e-07,-1.49519e-07
15,1.49508e-07,2.66297e-10,1.49774e-07,-1.49508e-07
16,1.49943e-07,3.97023e-10,1.5034e-07,-1.49943e-07
17,1.91654e-07,1.39704e-09,1.93051e-07,-1.91654e-07
18,1.92439e-07,9.57769e-10,1.93397e-07,-1.92439e-07
19,1.91224e-07,1.31901e-09,1.92543e-07,-1.91224e-07
20,1.91376e-07,-6.90648e-12,1.9137e-07,-1.91376e-07
21,1.92447e-07,1.58994e-09,1.94037e-07,-1.92447e-07
22,1.95286e-07,-1.62572e-11,1.95269e-07,-1.95286e-07
23,1.95929e-07,-6.11124e-10,1.95317e-07,-1.95929e-07
24,1.92592e-07,5.2745e-10,1.93119e-07,-1.92592e-07
25,1.99306e-07,1.81615e-10,1.99488e-07,-1.99306e-07
26,2.6895e-07,-9.70374e-10,2.6798e-07,-2.6895e-07
27,2.91744e-07,-1.80609e-09,2.89938e-07,-2.91744e-07
28,3.19049e-07,-1.46309e-09,3.17586e-07,-3.19049e-07
29,3.13046e-07,-3.37184e-09,3.09674e-07,-3.13046e-07
30,3.08144e-07,-1.97312e-09,3.06171e-07,-3.08144e-07
31,3.02767e-07,-2.9838e-09,2.99783e-07,-3.02767e-07
32,3.19166e-07,-2.30028e-09,3.16866e-07,-3.19166e-07
33,2.99443e-07,1.08113e-09,3.00524e-07,-2.99443e-07
34,3.18664e-07,-1.30566e-09,3.17358e-07,-3.18664e-07
35,3.22042e-07,-6.67569e-09,3.15366e-07,-3.22042e-07
36,3.62902e-07,-2.169e-09,3.60733e-07,-3.62902e-07
37,4.34261e-07,-1.06058e-08,4.23655e-07,-4.34261e-07
38,4.37247e-07,-9.53196e-09,4.27715e-07,-4.37247e-07
39,4.99266e-07,-1.37375e-08,4.85529e-07,-4.99266e-07
40,5.59166e-07,-3.24793e-08,5.26687e-07,-5.59166e-07
41,6.18586e-07,-3.50019e-08,5.83584e-07,-6.18586e-07
42,6.7891e-07,-3.74546e-08,6.41455e-07,-6.7891e-07
43,1.09613e-06,2.85321e-08,1.12466e-06,-1.09613e-06
44,2.5032e-06,-7.08733e-08,2.43233e-06,-2.5032e-06
45,2.11176e-06,-3.46994e-07,1.76476e-06,-2.11176e-06
46,9.97896e-06,-7.26627e-07,9.25234e-06,-9.97896e-06
47,0.0042994,-0.000404856,0.00389454,-0.0042994
48,0.512836,-0.0572356,0.4556,-0.512836
49,0.572754,-0.0280216,0.544732,-0.572754
50,0.751966,-0.0758069,0.67616,-0.751966
51,0.96391,-0.106769,0.857141,-0.96391
52,1.84264,-0.496697,1.34594,-1.84264
53,1.84455,-0.309608,1.53495,-1.84455
54,3.76663,-1.29851,2.46813,-3.76663
55,4.77251,-0.758781,4.01373,-4.77251
56,6.9978,-1.08756,5.91024,-6.9978
57,8.88105,-1.95328,6.92776,-8.88105
58,11.6165,-0.386235,11.2303,-11.6165
59,14.6787,-2.05792,12.6208,-14.6787
60,14.9558,-5.61989,9.33587,-14.9558
61,19.9644,-2.90701,17.0574,-19.9644
62,16.0183,-1.03303,14.9852,-16.0183
63,20.465,-5.14188,15.3231,-20.465
64,26.067,-6.04014,20.0268,-26.067
65,25.024,-6.85169,18.1724,-25.024
66,27.7207,-11.5207,16.2,-27.7207
67,26.9703,-11.4165,15.5538,-26.9703
68,21.4198,-8.2455,13.1743,-21.4198
69,28.5946,-9.28344,19.3111,-28.5946
70,23.1737,-11.3176,11.856,-23.1737
71,30.865,-10.9014,19.9636,-30.865
72,27.5582,-10.2866,17.2715,-27.5582
73,30.4501,-13.5841,16.866,-30.4501
74,17.3323,-5.91542,11.4169,-17.3323
75,25.0131,-18.3812,6.63198,-25.0131
76,23.4224,-14.9924,8.43006,-23.4224
77,21.8743,-14.3525,7.5218,-21.8743
78,28.1941,-15.6804,12.5138,-28.1941
79,33.1316,-16.8497,16.2819,-33.1316
80,33.1197,-14.2899,18.8298,-33.1197
81,31.5241,-18.358,13.166,-31.5241
82,28.9449,-22.5135,6.43134,-28.9449
83,23.8813,-19.2352,4.64608,-23.8813
84,37.0043,-12.9534,24.0509,-37.0043
85,35.9209,-26.7493,9.17151,-35.9209
