Step,Generator,Discriminator,Real,Fake
0,-0.394957,10.0026,-0.36451,0.394957
1,-0.130129,9.97,-0.11942,0.130129
2,0.451947,9.79736,0.370707,-0.451947
3,1.39221,9.57161,1.33602,-1.39221
4,3.23417,8.91334,2.85501,-3.23417
5,6.64881,9.43605,6.53385,-6.64881
6,7.011,7.95842,6.85423,-7.011
7,12.4223,7.45793,11.616,-12.4223
8,16.584,7.35931,15.6286,-16.584
9,17.6063,4.3465,16.0049,-17.6063
10,23.1152,11.0014,27.113,-23.1152
11,23.7663,0.96164,20.4407,-23.7663
12,30.4109,2.76486,28.571,-30.4109
13,36.2982,2.11144,34.5039,-36.2982
14,40.4231,1.58165,39.541,-40.4231
15,45.787,5.10159,47.7073,-45.787
16,52.0213,-3.33141,46.7303,-52.0213
17,70.793,-13.0945,55.4534,-70.793
18,64.3871,-8.61679,53.3819,-64.3871
19,74.1159,-7.62458,65.2709,-74.1159
20,78.6204,-5.34062,71.9145,-78.6204
21,90.255,-12.1123,76.6892,-90.255
22,102.852,-10.7728,90.5081,-102.852
23,120.389,-1.85315,116.707,-120.389
24,138.733,-19.697,117.386,-138.733
25,148.091,-22.6674,123.792,-148.091
26,151.003,-11.7724,137.8,-151.003
27,172.125,-16.896,154.117,-172.125
28,217.309,-31.6239,184.39,-217.309
29,214.468,-35.6049,177.719,-214.468
30,230.979,-63.3749,165.574,-230.979
31,253.305,-30.0097,221.051,-253.305
32,264.4,-57.9269,204.418,-264.4
33,259.834,-40.3433,217.751,-259.834
34,277.713,-41.4067,230.934,-277.713
35,330.392,-44.2307,283.699,-330.392
36,360.328,-54.1676,302.085,-360.328
37,355.758,-79.6595,271.76,-355.758
38,375.523,-58.934,313.991,-375.523
39,389.782,-44.5702,340.515,-389.782
40,390.241,-36.7471,346.524,-390.241
41,428.464,-63.1274,359.441,-428.464
42,444.779,-68.3568,371.838,-444.779
43,411.07,-100.815,301.051,-411.07
44,488.961,-35.7248,450.416,-488.961
45,512.546,-104.073,402.501,-512.546
46,510.779,-74.0467,432.837,-510.779
47,522.508,-41.7281,468.02,-522.508
48,574.251,-106.257,465.65,-574.251
49,566.011,-57.386,504.012,-566.011
50,593.126,-81.8339,504.503,-593.126
51,614.968,-53.9999,555.465,-614.968
52,596.401,-35.8527,553.322,-596.401
53,572.989,34.6843,592.67,-572.989
54,685.424,-11.9702,654.322,-685.424
55,730.015,-116.856,602.501,-730.015
56,715.358,-30.3543,664.329,-715.358
57,810.307,-68.6703,736.85,-810.307
58,772.082,-27.5724,723.654,-772.082
59,786.875,-49.0211,720.321,-786.875
60,786.693,-4.43445,766.221,-786.693
61,824.502,-48.9298,751.344,-824.502
62,884.188,-85.7327,788.703,-884.188
63,928.808,-95.578,813.776,-928.808
64,971.413,-168.874,784.221,-971.413
65,939.4,-54.6356,876.042,-939.4
66,916.618,-106.426,793.94,-916.618
67,985.801,-96.2182,877.328,-985.801
68,971.52,-54.0171,894.523,-971.52
69,1007.61,-153.151,834.796,-1007.61
70,1041.26,-147.676,879.094,-1041.26
71,1010.64,-115.054,878.059,-1010.64
72,1066.51,-212.373,827.194,-1066.51
73,1121.99,-141.785,961.207,-1121.99
74,1167.63,-134.379,1017.5,-1167.63
75,1086.49,-55.6088,1010.9,-1086.49
76,1242.7,-212.764,1008.44,-1242.7
77,1184.79,-5.88333,1157.37,-1184.79
78,1192.18,8.73997,1174.46,-1192.18
79,1192.02,-118.666,1042.34,-1192.02
80,1167.69,-103.713,1032.34,-1167.69
81,1188.47,-36.1382,1107.58,-1188.47
82,1315.14,-54.1056,1223.21,-1315.14
83,1302.75,-160.053,1125.68,-1302.75
84,1340.73,-86.7958,1232.02,-1340.73
85,1440.65,-73.5991,1352.25,-1440.65
86,1458.71,-165.16,1274.89,-1458.71
87,1465.23,-88.5902,1356.87,-1465.23
88,1541.79,-176.278,1346.73,-1541.79
89,1491.6,-99.8557,1365.03,-1491.6
90,1492.48,-40.2208,1425.74,-1492.48
91,1563.13,-256.223,1267.89,-1563.13
92,1564.58,-132.28,1399.78,-1564.58
93,1525.16,-89.1642,1408.36,-1525.16
94,1392.14,31.1444,1368.47,-1392.14
95,1645.41,-203.29,1412.39,-1645.41
96,1570.65,-167.79,1365.85,-1570.65
97,1655.93,-124.851,1494.16,-1655.93
98,1702.79,-217.165,1460.84,-1702.79
99,1588.29,-117.08,1418.7,-1588.29
100,1632.84,-86.5012,1491.5,-1632.84
101,1716.52,-172.917,1486.94,-1716.52
102,1789.49,-123.051,1634.87,-1789.49
103,1747.39,-96.4876,1607.39,-1747.39
104,1840.28,-116.97,1675.76,-1840.28
105,1921.09,-116.144,1772.83,-1921.09
106,1881.39,-116.3,1721.28,-1881.39
107,1868.65,-104.234,1716.08,-1868.65
108,1831.07,-150.093,1627.06,-1831.07
109,1922.2,-58.5425,1835.59,-1922.2
110,1960.6,-161.565,1760.14,-1960.6
111,1903.16,-199.65,1628.98,-1903.16
112,1936.05,-91.4612,1807.04,-1936.05
113,1841.85,24.4253,1826.33,-1841.85
114,1874.54,-50.5981,1761.95,-1874.54
115,1945.96,-56.9264,1855.02,-1945.96
116,1904.34,29.521,1857.11,-1904.34
117,1961.94,-207.254,1693.71,-1961.94
118,2024.65,-102.268,1872.1,-2024.65
119,2122.63,-201.871,1888.02,-2122.63
120,2043.5,-92.8361,1885.89,-2043.5
121,2055.23,-227.343,1762.76,-2055.23
122,2059.21,-64.4111,1946.79,-2059.21
123,2042.28,-121.142,1856.16,-2042.28
124,2114.22,-83.3382,1990.68,-2114.22
125,2155.78,-61.7129,2012.77,-2155.78
126,2181.6,-77.5771,2053.64,-2181.6
127,2220.87,-217.947,1956.66,-2220.87
128,2300.67,-172.557,2079.45,-2300.67
129,2249.48,-61.6087,2139.74,-2249.48
130,2307.69,-170.032,2085.75,-2307.69
131,2405.26,-190.51,2173.48,-2405.26
132,2182.67,42.8029,2178.81,-2182.67
133,2107.41,-70.3706,1911.92,-2107.41
134,2353.11,-187.477,2120.33,-2353.11
135,2313.18,-192.773,2050.8,-2313.18
136,2262.83,-63.3464,2151.58,-2262.83
137,2326.35,-80.3342,2199.32,-2326.35
138,2323.35,-117.799,2128.5,-2323.35
139,2255.52,-48.0923,2122.94,-2255.52
140,2386.01,-141.669,2189.02,-2386.01
141,2371.76,-125.986,2166.44,-2371.76
142,2379.47,-88.2487,2248.72,-2379.47
143,2369.13,-192.622,2109.15,-2369.13
144,2395.69,17.8736,2341.06,-2395.69
145,2546.99,-275.365,2220.48,-2546.99
146,2534.34,-337.248,2146.7,-2534.34
147,2544.56,-265.421,2232.05,-2544.56
148,2581.98,-201.573,2322.42,-2581.98
149,2531.07,-166.373,2289.65,-2531.07
150,2286.79,59.0884,2207.13,-2286.79
151,2518.49,-84.6416,2390.17,-2518.49
152,2565.13,-66.8267,2429.11,-2565.13
153,2450.41,-164.243,2161.27,-2450.41
154,2566.21,-221.364,2288.58,-2566.21
155,2590.86,-329.684,2156.43,-2590.86
156,2468.29,-301.768,2019.7,-2468.29
157,2675.85,-259.015,2343.64,-2675.85
158,2634.02,-198.833,2325.76,-2634.02
159,2692.77,-349.932,2215.14,-2692.77
160,2642.67,-213.833,2348.17,-2642.67
161,2538.68,-60.1879,2336.06,-2538.68
162,2614.49,-129.893,2401.36,-2614.49
163,2653.6,-154.667,2425.19,-2653.6
164,2636.42,-345.123,2184.01,-2636.42
165,2600.16,-209.807,2289.07,-2600.16
166,2715.76,-206.352,2423.3,-2715.76
167,2622.3,-208.712,2283.21,-2622.3
168,2653.76,-86.589,2496.37,-2653.76
169,2660.52,-82.4222,2503.17,-2660.52
170,2807.1,-268.706,2451.9,-2807.1
171,2758.74,-192.346,2481.35,-2758.74
172,2765.38,-176.373,2493.11,-2765.38
173,2705.67,-103.626,2533.02,-2705.67
174,2649.75,-149.903,2426.54,-2649.75
175,2816.82,-223.127,2524.39,-2816.82
176,2814.34,-300.835,2419.22,-2814.34
177,2780.28,-141.252,2560.58,-2780.28
178,2757.67,-297.886,2383.6,-2757.67
179,2690.62,-199.047,2379.11,-2690.62
