Step,Generator,Discriminator,Real,Fake
0,-0.372696,0.0211339,-0.351562,0.372696
1,-6.17464e-08,8.59596e-09,-5.31504e-08,6.17464e-08
2,-6.85119e-08,1.53581e-08,-5.31538e-08,6.85119e-08
3,-6.62348e-08,1.42355e-08,-5.19993e-08,6.62348e-08
4,-6.12486e-08,6.42142e-09,-5.48272e-08,6.12486e-08
5,-6.00407e-08,1.80359e-09,-5.82372e-08,6.00407e-08
6,-6.02921e-08,1.45054e-08,-4.57867e-08,6.02921e-08
7,-5.43103e-08,5.53948e-09,-4.87708e-08,5.43103e-08
8,-3.97506e-08,1.45089e-08,-2.52418e-08,3.97506e-08
9,-4.50406e-09,6.38777e-09,1.88371e-09,4.50406e-09
10,4.67775e-08,3.16697e-09,4.99445e-08,-4.67775e-08
11,1.26576e-07,1.86478e-09,1.28441e-07,-1.26576e-07
12,1.29698e-07,1.48142e-09,1.31179e-07,-1.29698e-07
13,1.49513e-07,2.11907e-09,1.51632e-07,-1.49513e-07
14,1.49169e-07,2.31879e-09,1.51488e-07,-1.49169e-07
15,1.49684e-07,-2.70973e-10,1.49413e-07,-1.49684e-07
16,1.49088e-07,3.96028e-10,1.49484e-07,-1.49088e-07
17,1.91099e-07,1.39701e-09,1.92496e-07,-1.91099e-07
18,1.91944e-07,9.58124e-10,1.92902e-07,-1.91944e-07
19,1.91683e-07,1.32111e-09,1.93004e-07,-1.91683e-07
20,1.9235e-07,-5.74119e-12,1.92344e-07,-1.9235e-07
21,1.93667e-07,1.5888e-09,1.95256e-07,-1.93667e-07
22,1.95653e-07,-1.8602e-11,1.95634e-07,-1.95653e-07
23,1.96028e-07,-7.73284e-10,1.95255e-07,-1.96028e-07
24,1.93862e-07,5.55389e-10,1.94417e-07,-1.93862e-07
25,2.03127e-07,2.36e-10,2.03363e-07,-2.03127e-07
26,2.06948e-07,-9.98455e-10,2.0595e-07,-2.06948e-07
27,2.13094e-07,-1.82361e-09,2.1127e-07,-2.13094e-07
28,2.18564e-07,-1.44873e-09,2.17116e-07,-2.18564e-07
29,2.16296e-07,-3.38746e-09,2.12909e-07,-2.16296e-07
30,3.29533e-07,-1.67964e-09,3.27853e-07,-3.29533e-07
31,3.2281e-07,-2.97482e-09,3.19835e-07,-3.2281e-07
32,3.4207e-07,-2.35974e-09,3.3971e-07,-3.4207e-07
33,3.48132e-07,8.72291e-10,3.49004e-07,-3.48132e-07
34,3.22664e-07,-1.39792e-09,3.21266e-07,-3.22664e-07
35,3.25012e-07,-6.68672e-09,3.18326e-07,-3.25012e-07
36,3.93637e-07,-2.1742e-09,3.91463e-07,-3.93637e-07
37,4.83863e-07,-1.06543e-08,4.73209e-07,-4.83863e-07
38,4.81033e-07,-9.82442e-09,4.71209e-07,-4.81033e-07
39,5.66532e-07,-1.36541e-08,5.52878e-07,-5.66532e-07
40,6.36053e-07,-3.69072e-08,5.99146e-07,-6.36053e-07
41,7.26784e-07,-3.56969e-08,6.91087e-07,-7.26784e-07
42,6.9319e-07,-3.75506e-08,6.5564e-07,-6.9319e-07
43,1.20595e-06,2.8489e-08,1.23444e-06,-1.20595e-06
44,1.14903e-06,-7.39678e-08,1.07506e-06,-1.14903e-06
45,2.52336e-06,-3.47177e-07,2.17618e-06,-2.52336e-06
46,2.69784e-05,-1.55593e-06,2.54225e-05,-2.69784e-05
47,0.149571,-0.0241203,0.125451,-0.149571
48,0.42461,-0.126308,0.298302,-0.42461
49,0.688457,0.0177592,0.706216,-0.688457
50,1.40599,-0.343822,1.06216,-1.40599
51,2.27793,-0.00460029,2.27333,-2.27793
52,3.70791,-0.292847,3.41506,-3.70791
53,3.09614,0.460917,3.55706,-3.09614
54,6.60166,-2.3691,4.23255,-6.60166
55,8.49657,-0.499591,7.99698,-8.49657
56,11.9367,-2.07699,9.85967,-11.9367
57,13.2718,-2.25328,11.0185,-13.2718
58,16.2434,-1.67539,14.568,-16.2434
59,12.2971,-3.30359,8.99351,-12.2971
60,11.7785,-3.30718,8.47131,-11.7785
61,17.7303,-7.96832,9.76202,-17.7303
62,17.0936,-6.2415,10.852,-17.0936
63,12.2724,-1.92362,10.3488,-12.2724
64,15.2751,-7.21809,8.05696,-15.2751
65,20.3058,-9.24192,11.0639,-20.3058
66,21.2958,-12.5104,8.78535,-21.2958
67,20.646,-9.76839,10.8776,-20.646
68,16.0857,-9.53769,6.548,-16.0857
69,24.5865,-4.73795,19.8485,-24.5865
70,17.8862,-16.126,1.76018,-17.8862
71,22.6203,-7.10929,15.511,-22.6203
72,14.3081,-4.77455,9.5336,-14.3081
73,30.0746,-7.77267,22.3019,-30.0746
74,20.5331,-8.34214,12.1909,-20.5331
75,25.8421,-21.735,4.10709,-25.8421
76,21.8763,-12.9127,8.96357,-21.8763
77,18.802,-8.59587,10.2062,-18.802
78,24.5133,-15.3026,9.21072,-24.5133
79,28.864,-17.42,11.444,-28.864
80,29.1141,-6.31292,22.8012,-29.1141
81,16.188,-16.8166,-0.628594,-16.188
82,33.2074,-20.8937,12.3137,-33.2074
83,33.4336,-16.6039,16.8297,-33.4336
84,31.3567,-12.6503,18.7064,-31.3567
85,31.8263,-26.0409,5.78539,-31.8263
86,14.1618,-15.3211,-1.15934,-14.1618
87,35.6161,-16.5997,19.0164,-35.6161
88,35.3705,-20.043,15.3275,-35.3705
89,34.9197,-21.4576,13.4621,-34.9197
90,13.9923,-10.6027,3.38965,-13.9923
91,33.9691,-13.147,20.8221,-33.9691
92,29.0718,-28.4899,0.581976,-29.0718
93,31.7627,-16.4763,15.2864,-31.7627
94,33.5548,-22.5211,11.0338,-33.5548
95,33.9173,-24.5511,9.36622,-33.9173
96,23.5812,-24.1515,-0.570313,-23.5812
97,34.696,-18.4133,16.2826,-34.696
98,37.4827,-29.9599,7.52278,-37.4827
99,38.8255,-28.5397,10.2858,-38.8255
100,38.6011,-35.0493,3.55185,-38.6011
101,37.1822,-38.3907,-1.20848,-37.1822
102,29.2031,-28.4026,0.800522,-29.2031
103,14.181,-18.2211,-4.04004,-14.181
104,30.436,-32.9193,-2.4833,-30.436
105,38.0658,-26.5249,11.5409,-38.0658
106,39.4498,-31.5845,7.86523,-39.4498
107,19.0078,-22.728,-3.72025,-19.0078
108,39.1429,-28.6434,10.4995,-39.1429
109,37.8576,-37.7187,0.138828,-37.8576
110,39.1892,-44.0542,-4.86506,-39.1892
111,39.5682,-40.6157,-1.04754,-39.5682
112,36.2019,-29.2574,6.94442,-36.2019
113,41.5649,-42.4294,-0.864586,-41.5649
114,39.5898,-41.2586,-1.66882,-39.5898
115,36.7501,-40.0761,-3.32605,-36.7501
116,38.7056,-43.5353,-4.82968,-38.7056
117,40.3959,-42.903,-2.5071,-40.3959
118,37.6028,-29.7516,7.85112,-37.6028
119,41.3288,-47.7891,-6.46025,-41.3288
120,37.7907,-38.0793,-0.288553,-37.7907
121,42.1466,-48.6132,-6.46651,-42.1466
122,40.3392,-46.4272,-6.08799,-40.3392
123,42.5156,-50.5353,-8.01968,-42.5156
124,41.9861,-48.6882,-6.7021,-41.9861
125,41.1619,-45.5099,-4.34798,-41.1619
126,38.6737,-44.0986,-5.42484,-38.6737
127,43.1088,-47.1991,-4.09024,-43.1088
128,31.229,-36.5415,-5.31252,-31.229
129,44.2861,-52.1792,-7.8931,-44.2861
130,42.294,-49.2391,-6.94514,-42.294
131,45.6494,-53.8921,-8.24273,-45.6494
132,41.5492,-48.7068,-7.15762,-41.5492
133,43.4326,-51.7477,-8.31517,-43.4326
134,43.7199,-53.4013,-9.68133,-43.7199
135,45.2408,-53.8661,-8.62521,-45.2408
136,43.3541,-50.6141,-7.26004,-43.3541
137,43.7637,-53.0612,-9.29747,-43.7637
138,42.4915,-50.268,-7.7765,-42.4915
139,45.9475,-55.4125,-9.46499,-45.9475
140,44.5951,-53.9317,-9.33661,-44.5951
141,46.011,-55.8013,-9.79028,-46.011
142,41.3823,-51.2198,-9.83751,-41.3823
143,45.1236,-54.0333,-8.90969,-45.1236
144,43.6847,-50.6819,-6.99712,-43.6847
145,45.1527,-54.3254,-9.17268,-45.1527
146,41.4086,-49.5402,-8.13163,-41.4086
147,44.7199,-53.0999,-8.38008,-44.7199
148,45.8918,-56.5612,-10.6694,-45.8918
149,47.1093,-57.5166,-10.4074,-47.1093
150,45.818,-55.4115,-9.59354,-45.818
151,46.8537,-56.2849,-9.43118,-46.8537
