Step,Generator,Discriminator,Real,Fake
0,-0.39743,10.0024,-0.364696,0.39743
1,-0.174981,9.9086,-0.211636,0.174981
2,0.196839,9.80269,0.14234,-0.196839
3,0.762177,9.76337,0.699416,-0.762177
4,1.79594,9.55993,1.72359,-1.79594
5,2.64341,8.75349,2.77933,-2.64341
6,4.60974,7.68173,4.20125,-4.60974
7,8.03278,6.55418,7.65788,-8.03278
8,8.81283,5.74202,8.47556,-8.81283
9,12.9051,2.12519,10.2405,-12.9051
10,17.9316,2.46097,16.2614,-17.9316
11,19.9035,1.13343,17.6242,-19.9035
12,31.8376,1.09323,29.3155,-31.8376
13,32.1985,-0.534965,29.3165,-32.1985
14,39.7932,-1.54438,35.8871,-39.7932
15,38.7298,-2.21603,34.8135,-38.7298
16,49.9668,-7.99147,40.3466,-49.9668
17,51.1684,-5.69898,43.9086,-51.1684
18,62.6415,-6.41874,54.1101,-62.6415
19,60.2928,-2.44342,56.8528,-60.2928
20,85.383,-13.6992,69.9333,-85.383
21,78.6503,-15.5939,61.6794,-78.6503
22,101.775,-23.927,76.5431,-101.775
23,119.813,-33.9443,84.7225,-119.813
24,123.322,-30.454,90.8974,-123.322
25,146.579,-30.094,115.258,-146.579
26,144.229,-25.2116,116.761,-144.229
27,172.388,-20.9735,150.149,-172.388
28,181.672,-25.9481,153.893,-181.672
29,200.328,-21.1493,177.824,-200.328
30,197.62,-21.0999,173.859,-197.62
31,222.742,-50.3759,169.394,-222.742
32,254.949,-40.463,211.808,-254.949
33,268.33,-47.1743,219.123,-268.33
34,283.933,-42.8172,238.045,-283.933
35,309.495,-49.2318,256.897,-309.495
36,305.759,-60.1975,240.212,-305.759
37,336.68,-64.7728,267.022,-336.68
38,363.011,-87.284,267.577,-363.011
39,363.403,-25.6016,333.715,-363.403
40,337.573,-67.7523,259.595,-337.573
41,394.7,-66.855,317.674,-394.7
42,419.634,-64.7401,346.023,-419.634
43,465.624,-74.2521,383.653,-465.624
44,475.076,-94.2745,371.296,-475.076
45,475.47,-27.6163,437.07,-475.47
46,507.202,-61.9338,438.611,-507.202
47,490.937,-38.8296,438.737,-490.937
48,549.795,-119.064,412.478,-549.795
49,603.032,-113.289,474.115,-603.032
50,590.756,-120.096,456.997,-590.756
51,605.858,-115.141,471.716,-605.858
52,625.016,-124.176,475.634,-625.016
53,659.629,-80.4536,557.732,-659.629
54,676.963,-65.043,598.682,-676.963
55,717.521,-124.859,568.793,-717.521
56,727.229,-67.0143,640.396,-727.229
57,682.923,-58.2186,598.25,-682.923
58,733.028,-66.6077,636.957,-733.028
59,761.093,-69.964,663.647,-761.093
60,785.825,-54.5217,703.438,-785.825
61,803.327,-88.3672,680.25,-803.327
62,863.336,-135.927,700.295,-863.336
63,856.109,-40.1069,791.753,-856.109
64,907.937,-89.5815,791.178,-907.937
65,916.661,-123.273,761.702,-916.661
66,882.787,4.01573,863.712,-882.787
67,950.253,-81.0041,840.48,-950.253
68,1003.64,-161.15,813.469,-1003.64
69,962.972,-75.7283,854.672,-962.972
70,1031.78,-160.508,833.526,-1031.78
71,1014.92,-76.211,915.272,-1014.92
72,1090.45,-85.7152,974.226,-1090.45
73,1105.63,-170.215,901.335,-1105.63
74,1142.35,-202.912,906.73,-1142.35
75,1054.73,-27.1576,988.057,-1054.73
76,1153.2,-65.0222,1051.16,-1153.2
77,1219.49,-202.693,978.429,-1219.49
78,1159.8,-166.374,937.882,-1159.8
79,1228.26,-129.137,1059.92,-1228.26
80,1226.96,-171.145,996.208,-1226.96
81,1290.63,-189.298,1057.06,-1290.63
82,1270.13,-217.334,1012.65,-1270.13
83,1362.83,-198.735,1119.18,-1362.83
84,1344.42,-160.983,1134.85,-1344.42
85,1440.42,-233.845,1174.07,-1440.42
86,1364.56,-176.193,1134.55,-1364.56
87,1288.25,-112.577,1111.5,-1288.25
88,1392.44,-149.955,1191.06,-1392.44
89,1386.38,-169.871,1160.99,-1386.38
90,1365.04,-75.0506,1190.22,-1365.04
91,1465.87,-99.308,1325.64,-1465.87
92,1467.52,-98.9616,1312.87,-1467.52
93,1503.15,-91.806,1347.3,-1503.15
94,1592.29,-202.109,1342.75,-1592.29
95,1570.87,-116.19,1384.59,-1570.87
96,1633.55,-232.046,1301.02,-1633.55
97,1634.72,-179.052,1392.09,-1634.72
98,1660.66,-256.408,1329.76,-1660.66
99,1623.67,-204.913,1328.81,-1623.67
100,1504.97,-90.5148,1308.73,-1504.97
