Step,Generator,Discriminator,Real,Fake
0,-0.396994,0.0322984,-0.364696,0.396994
1,-8.04723e-08,1.11331e-08,-6.93392e-08,8.04723e-08
2,-7.24818e-08,1.62478e-09,-7.08571e-08,7.24818e-08
3,-6.02916e-08,3.83429e-09,-5.64573e-08,6.02916e-08
4,-5.6982e-08,1.75963e-09,-5.52224e-08,5.6982e-08
5,-6.53155e-08,3.35957e-09,-6.1956e-08,6.53155e-08
6,-4.24476e-08,-1.51729e-09,-4.39649e-08,4.24476e-08
7,-3.24758e-08,6.14133e-09,-2.63345e-08,3.24758e-08
8,-4.89712e-09,-1.80465e-09,-6.70178e-09,4.89712e-09
9,3.66474e-08,-1.95748e-08,1.70726e-08,-3.66474e-08
10,1.84189e-08,-1.45176e-08,3.90126e-09,-1.84189e-08
11,5.22448e-08,2.7843e-09,5.50291e-08,-5.22448e-08
12,8.65636e-08,3.24823e-09,8.98119e-08,-8.65636e-08
13,3.204e-08,-5.21164e-09,2.68283e-08,-3.204e-08
14,1.3911e-07,5.46009e-10,1.39656e-07,-1.3911e-07
15,1.0424e-07,-3.07148e-09,1.01168e-07,-1.0424e-07
16,-7.01005e-07,3.11678e-09,-6.97889e-07,7.01005e-07
17,-6.97681e-07,1.41063e-09,-6.9627e-07,6.97681e-07
18,-6.88998e-07,-6.96588e-09,-6.95964e-07,6.88998e-07
19,-7.03556e-07,1.10208e-08,-6.92535e-07,7.03556e-07
20,-6.85063e-07,2.81483e-09,-6.82248e-07,6.85063e-07
21,-6.95866e-07,-9.4434e-10,-6.9681e-07,6.95866e-07
22,-7.0688e-07,-1.51459e-09,-7.08394e-07,7.0688e-07
23,-7.27194e-07,-1.21054e-08,-7.39299e-07,7.27194e-07
24,-7.48031e-07,-8.01475e-09,-7.56046e-07,7.48031e-07
25,-7.46975e-07,-1.8436e-08,-7.65411e-07,7.46975e-07
26,-7.47975e-07,-6.40341e-10,-7.48615e-07,7.47975e-07
27,-7.53189e-07,9.65468e-09,-7.43535e-07,7.53189e-07
28,-7.27585e-07,1.32439e-08,-7.14341e-07,7.27585e-07
29,-6.8141e-07,-7.1077e-09,-6.88518e-07,6.8141e-07
30,-6.8348e-07,-5.58248e-09,-6.89062e-07,6.8348e-07
31,-6.37201e-07,-1.99771e-09,-6.39199e-07,6.37201e-07
32,-6.79525e-07,-1.71998e-08,-6.96725e-07,6.79525e-07
33,-6.49543e-07,-1.24535e-08,-6.61997e-07,6.49543e-07
34,-2.20836e-06,-1.16356e-08,-2.22e-06,2.20836e-06
35,-2.39636e-06,1.32354e-08,-2.38312e-06,2.39636e-06
36,-2.45732e-06,-2.2414e-08,-2.47973e-06,2.45732e-06
37,-2.2837e-06,-9.10445e-08,-2.37475e-06,2.2837e-06
38,-5.84247e-06,-3.17348e-07,-6.15982e-06,5.84247e-06
39,-1.69672e-06,2.6027e-07,-1.43645e-06,1.69672e-06
40,6.22378e-07,-4.42305e-07,1.80073e-07,-6.22378e-07
41,-3.36666e-06,-3.86008e-06,-7.22674e-06,3.36666e-06
42,-6.60125e-06,-1.00151e-07,-6.7014e-06,6.60125e-06
43,-3.40103e-05,-2.63843e-05,-6.03946e-05,3.40103e-05
44,-9.02499e-05,-1.06022e-05,-0.000100852,9.02499e-05
45,0.0031185,0.000299996,0.00341849,-0.0031185
46,-0.0599284,-0.0223533,-0.0822817,0.0599284
47,-0.246674,0.0283735,-0.218301,0.246674
48,-0.547647,-0.308194,-0.855841,0.547647
49,-1.08018,-0.316012,-1.39619,1.08018
50,-1.85303,-0.663465,-2.51649,1.85303
51,-2.59358,-0.360214,-2.95379,2.59358
52,-3.54753,-1.45658,-5.00412,3.54753
53,-3.40345,-2.29601,-5.69945,3.40345
54,-6.11866,-1.86696,-7.98562,6.11866
55,-7.3577,-1.07505,-8.43275,7.3577
56,-7.11554,-3.62506,-10.7406,7.11554
57,-11.355,-1.60724,-12.9622,11.355
