Step,Generator,Discriminator,Real,Fake
0,-0.372696,0.0211339,-0.351563,0.372696
1,-6.17464e-08,8.59596e-09,-5.31504e-08,6.17464e-08
2,-6.85119e-08,1.53581e-08,-5.31538e-08,6.85119e-08
3,-6.61702e-08,1.42377e-08,-5.19325e-08,6.61702e-08
4,-6.11439e-08,6.41995e-09,-5.47239e-08,6.11439e-08
5,-5.90003e-08,-1.05381e-09,-6.00541e-08,5.90003e-08
6,-6.29324e-08,1.44586e-08,-4.84738e-08,6.29324e-08
7,-5.56183e-08,5.45944e-09,-5.01588e-08,5.56183e-08
8,-4.34747e-08,1.45328e-08,-2.89418e-08,4.34747e-08
9,-6.74287e-10,6.22683e-09,5.55254e-09,6.74287e-10
10,1.82921e-08,5.72437e-09,2.40165e-08,-1.82921e-08
11,1.25795e-07,1.86546e-09,1.27661e-07,-1.25795e-07
12,1.30374e-07,1.48179e-09,1.31856e-07,-1.30374e-07
13,1.40149e-07,2.12053e-09,1.4227e-07,-1.40149e-07
14,1.43205e-07,2.31879e-09,1.45524e-07,-1.43205e-07
15,1.43753e-07,-2.73133e-10,1.4348e-07,-1.43753e-07
16,1.43402e-07,3.92916e-10,1.43795e-07,-1.43402e-07
17,1.85437e-07,1.39711e-09,1.86834e-07,-1.85437e-07
18,1.86036e-07,9.57797e-10,1.86993e-07,-1.86036e-07
19,1.84712e-07,1.31953e-09,1.86032e-07,-1.84712e-07
20,1.85222e-07,-5.88329e-12,1.85216e-07,-1.85222e-07
21,1.87109e-07,1.58934e-09,1.88698e-07,-1.87109e-07
22,1.89489e-07,-1.79909e-11,1.89471e-07,-1.89489e-07
23,1.90026e-07,-7.77874e-10,1.89248e-07,-1.90026e-07
24,1.87779e-07,5.22306e-10,1.88301e-07,-1.87779e-07
25,1.94082e-07,1.59503e-10,1.94241e-07,-1.94082e-07
26,2.02159e-07,-1.72989e-09,2.0043e-07,-2.02159e-07
27,2.07581e-07,-1.07127e-09,2.06509e-07,-2.07581e-07
28,2.17139e-07,-2.08142e-09,2.15058e-07,-2.17139e-07
29,2.12799e-07,-3.40016e-09,2.09399e-07,-2.12799e-07
30,2.07779e-07,-1.24216e-09,2.06536e-07,-2.07779e-07
31,1.97806e-07,-2.99626e-09,1.9481e-07,-1.97806e-07
32,2.01624e-07,-2.43504e-09,1.99189e-07,-2.01624e-07
33,1.96142e-07,1.02665e-09,1.97169e-07,-1.96142e-07
34,2.34289e-07,-1.33925e-09,2.3295e-07,-2.34289e-07
35,2.15492e-07,-6.9935e-09,2.08499e-07,-2.15492e-07
36,2.67808e-07,-2.19129e-09,2.65617e-07,-2.67808e-07
37,3.47848e-07,-1.08303e-08,3.37017e-07,-3.47848e-07
38,3.52973e-07,-1.05809e-08,3.42392e-07,-3.52973e-07
39,3.86226e-07,-1.46013e-08,3.71624e-07,-3.86226e-07
40,4.37589e-07,-3.3458e-08,4.04131e-07,-4.37589e-07
41,4.72819e-07,-3.71338e-08,4.35685e-07,-4.72819e-07
42,4.78453e-07,-4.217e-08,4.36283e-07,-4.78453e-07
43,8.14425e-07,3.31681e-08,8.47593e-07,-8.14425e-07
44,1.80886e-06,-8.33346e-08,1.72552e-06,-1.80886e-06
45,4.83421e-06,-4.67979e-07,4.36623e-06,-4.83421e-06
46,0.000147954,-3.96297e-06,0.000143991,-0.000147954
47,0.252049,-0.035714,0.216335,-0.252049
48,0.489144,-0.020281,0.468863,-0.489144
49,0.731902,-0.228407,0.503495,-0.731902
50,1.57658,-0.366836,1.20975,-1.57658
51,2.51612,-0.969784,1.54634,-2.51612
52,3.77948,-0.19553,3.58395,-3.77948
53,1.8374,0.693475,2.53087,-1.8374
54,5.83547,-3.04577,2.78969,-5.83547
55,5.21987,0.687325,5.90719,-5.21987
56,10.156,-3.6201,6.53592,-10.156
57,10.3575,-2.20451,8.15295,-10.3575
58,8.62461,-1.92061,6.70399,-8.62461
59,7.95757,-2.62075,5.33682,-7.95757
60,13.5961,-5.40606,8.18999,-13.5961
61,17.8252,-7.44521,10.38,-17.8252
62,14.6281,-5.32045,9.30761,-14.6281
63,14.2684,-2.74642,11.5219,-14.2684
64,14.2434,-5.39443,8.84899,-14.2434
65,13.7768,-7.31239,6.46444,-13.7768
66,21.3255,-13.857,7.46858,-21.3255
67,16.3911,-9.38733,7.0038,-16.3911
68,9.99478,-5.2316,4.76318,-9.99478
69,22.8277,-6.55574,16.272,-22.8277
70,18.9578,-14.0041,4.95365,-18.9578
71,22.5702,-8.77503,13.7951,-22.5702
72,13.2658,-4.26452,9.00129,-13.2658
73,25.8498,-11.0745,14.7753,-25.8498
74,15.4591,-7.29769,8.16138,-15.4591
75,24.8688,-20.276,4.59276,-24.8688
76,30.607,-1.07173,29.5352,-30.607
77,10.1498,-4.86275,5.28708,-10.1498
78,24.4501,-16.5791,7.871,-24.4501
79,16.1192,-11.8764,4.24277,-16.1192
80,17.4076,-14.6855,2.72209,-17.4076
81,15.9483,-16.6717,-0.723379,-15.9483
82,27.4398,-22.513,4.92676,-27.4398
83,31.7967,-18.0145,13.7822,-31.7967
84,27.9554,-11.2497,16.7056,-27.9554
85,31.5378,-22.954,8.58379,-31.5378
86,29.309,-28.2138,1.09517,-29.309
