Step,Generator,Discriminator,Real,Fake
0,-0.396994,0.0322984,-0.364696,0.396994
1,-8.05013e-08,1.11331e-08,-6.93682e-08,8.05013e-08
2,-7.38478e-08,2.93992e-09,-7.09079e-08,7.38478e-08
3,-6.03616e-08,3.83444e-09,-5.65272e-08,6.03616e-08
4,-5.92832e-08,4.04252e-09,-5.52407e-08,5.92832e-08
5,-6.54013e-08,3.36308e-09,-6.20382e-08,6.54013e-08
6,-4.23465e-08,-1.51888e-09,-4.38654e-08,4.23465e-08
7,-3.09103e-08,6.0775e-09,-2.48328e-08,3.09103e-08
8,-7.15262e-09,-1.8675e-09,-9.02013e-09,7.15262e-09
9,3.57451e-08,-1.86626e-08,1.70825e-08,-3.57451e-08
10,1.82675e-08,-1.45348e-08,3.73272e-09,-1.82675e-08
11,5.05104e-08,2.8657e-09,5.33761e-08,-5.05104e-08
12,8.56685e-08,3.27432e-09,8.89428e-08,-8.56685e-08
13,3.49934e-08,-5.18931e-09,2.98041e-08,-3.49934e-08
14,-6.85815e-08,2.14514e-09,-6.64363e-08,6.85815e-08
15,-2.10255e-07,-7.37964e-09,-2.17635e-07,2.10255e-07
16,-2.14172e-07,3.10349e-09,-2.11069e-07,2.14172e-07
17,-2.11908e-07,1.42131e-09,-2.10486e-07,2.11908e-07
18,-2.03301e-07,-6.90483e-09,-2.10206e-07,2.03301e-07
19,-2.17349e-07,9.25841e-09,-2.0809e-07,2.17349e-07
20,-2.02817e-07,1.50335e-09,-2.01314e-07,2.02817e-07
21,-2.13526e-07,-9.17439e-10,-2.14443e-07,2.13526e-07
22,-2.01637e-07,-3.7258e-10,-2.02009e-07,2.01637e-07
23,-2.40053e-07,-1.19637e-08,-2.52017e-07,2.40053e-07
24,-2.56436e-07,-7.71453e-09,-2.6415e-07,2.56436e-07
25,-2.54181e-07,-1.74515e-08,-2.71632e-07,2.54181e-07
26,-2.5313e-07,1.1687e-10,-2.53013e-07,2.5313e-07
27,-2.5695e-07,8.01754e-09,-2.48933e-07,2.5695e-07
28,-2.34512e-07,1.25624e-08,-2.2195e-07,2.34512e-07
29,-1.5656e-06,-8.70989e-09,-1.57431e-06,1.5656e-06
30,-1.56991e-06,-5.22039e-09,-1.57513e-06,1.56991e-06
31,-1.50806e-06,-1.68666e-09,-1.50974e-06,1.50806e-06
32,-1.5607e-06,-1.54968e-08,-1.57619e-06,1.5607e-06
33,-1.52305e-06,-9.89553e-09,-1.53295e-06,1.52305e-06
34,-1.63148e-06,-9.98091e-09,-1.64146e-06,1.63148e-06
35,-1.76656e-06,1.29811e-08,-1.75358e-06,1.76656e-06
36,-1.78515e-06,-1.15828e-08,-1.79673e-06,1.78515e-06
37,-1.65838e-06,-6.69615e-08,-1.72534e-06,1.65838e-06
38,-3.71312e-06,-1.77298e-07,-3.89042e-06,3.71312e-06
39,1.93105e-06,4.11972e-08,1.97225e-06,-1.93105e-06
40,1.65776e-06,-3.50225e-07,1.30754e-06,-1.65776e-06
41,-3.50973e-05,-1.12385e-05,-4.63358e-05,3.50973e-05
42,-2.8191e-05,1.40321e-06,-2.67878e-05,2.8191e-05
43,-6.59289e-05,-4.75399e-05,-0.000113469,6.59289e-05
44,9.71483e-05,-7.99195e-06,8.91564e-05,-9.71483e-05
45,-0.126999,-0.012251,-0.13925,0.126999
46,-0.505965,-0.119848,-0.625813,0.505965
47,-0.580717,-0.485456,-1.06617,0.580717
48,-1.69902,-0.92196,-2.62098,1.69902
49,-3.60856,-0.502274,-4.11083,3.60856
50,-2.16957,-1.48781,-3.65738,2.16957
51,-5.1608,-1.07216,-6.23296,5.1608
52,-5.11675,-3.46301,-8.57976,5.11675
