Step,Generator,Discriminator,Real,Fake
0,-0.372748,0.00257161,-0.370176,0.372748
1,-6.63238e-08,4.22872e-10,-6.5901e-08,6.63238e-08
2,-7.00284e-08,7.39924e-09,-6.26292e-08,7.00284e-08
3,-6.62679e-08,9.84608e-09,-5.64218e-08,6.62679e-08
4,-6.62147e-08,-1.70751e-09,-6.79222e-08,6.62147e-08
5,-6.28094e-08,1.21806e-08,-5.06289e-08,6.28094e-08
6,-6.33045e-08,1.8709e-09,-6.14336e-08,6.33045e-08
7,-5.95133e-08,3.41682e-09,-5.60965e-08,5.95133e-08
8,-6.22653e-08,1.60676e-08,-4.61976e-08,6.22653e-08
9,6.57373e-09,7.34298e-09,1.39167e-08,-6.57373e-09
10,6.40313e-08,2.51712e-09,6.65484e-08,-6.40313e-08
11,1.15714e-07,2.52915e-09,1.18243e-07,-1.15714e-07
12,1.29187e-07,1.42226e-09,1.30609e-07,-1.29187e-07
13,1.56746e-07,4.12328e-10,1.57159e-07,-1.56746e-07
14,1.56546e-07,1.79996e-09,1.58346e-07,-1.56546e-07
15,1.57567e-07,-3.35092e-11,1.57534e-07,-1.57567e-07
16,1.56716e-07,1.03103e-09,1.57747e-07,-1.56716e-07
17,1.56604e-07,2.59035e-10,1.56863e-07,-1.56604e-07
18,1.5774e-07,3.25002e-10,1.58065e-07,-1.5774e-07
19,1.57832e-07,2.51453e-09,1.60347e-07,-1.57832e-07
20,1.55613e-07,3.6507e-09,1.59264e-07,-1.55613e-07
21,1.5882e-07,2.61608e-10,1.59082e-07,-1.5882e-07
22,1.6185e-07,4.76106e-10,1.62326e-07,-1.6185e-07
23,1.58118e-07,6.03649e-10,1.58721e-07,-1.58118e-07
24,1.55656e-07,2.64691e-10,1.55921e-07,-1.55656e-07
25,1.56074e-07,-4.89592e-10,1.55584e-07,-1.56074e-07
26,1.67313e-07,-5.03633e-10,1.6681e-07,-1.67313e-07
27,1.73963e-07,-2.04392e-09,1.71919e-07,-1.73963e-07
28,1.74424e-07,-6.9349e-10,1.73731e-07,-1.74424e-07
29,1.67191e-07,-2.19873e-09,1.64992e-07,-1.67191e-07
30,1.6008e-07,-8.72859e-10,1.59207e-07,-1.6008e-07
31,1.58974e-07,-2.60172e-10,1.58714e-07,-1.58974e-07
32,1.68489e-07,-3.77963e-09,1.64709e-07,-1.68489e-07
33,-8.91588e-08,1.00099e-09,-8.81578e-08,8.91588e-08
34,-9.45703e-08,-9.88422e-10,-9.55588e-08,9.45703e-08
35,-3.32899e-08,-5.13409e-09,-3.8424e-08,3.32899e-08
36,-2.52458e-08,-2.305e-11,-2.52689e-08,2.52458e-08
37,-5.61053e-08,-1.22524e-08,-6.83577e-08,5.61053e-08
38,-1.44626e-07,-9.54958e-09,-1.54175e-07,1.44626e-07
39,-1.45508e-07,-1.68847e-08,-1.62393e-07,1.45508e-07
40,-1.16309e-07,-4.0457e-08,-1.56766e-07,1.16309e-07
41,-1.89296e-07,-4.98062e-08,-2.39102e-07,1.89296e-07
42,4.95721e-07,-5.689e-08,4.38831e-07,-4.95721e-07
43,-8.51225e-06,-1.19053e-08,-8.52416e-06,8.51225e-06
44,-0.00582291,-0.0013382,-0.00716112,0.00582291
45,0.544894,-0.0785,0.466394,-0.544894
46,1.46046,-0.230229,1.23023,-1.46046
47,2.5052,-0.339928,2.16527,-2.5052
48,3.19782,-0.276057,2.92177,-3.19782
49,3.80774,0.0811608,3.8889,-3.80774
50,7.33421,-1.07431,6.25989,-7.33421
51,8.95878,-0.846953,8.11183,-8.95878
52,11.8665,-2.64036,9.22616,-11.8665
53,13.0028,-0.39075,12.6121,-13.0028
54,19.1898,-2.57062,16.6192,-19.1898
55,14.565,-0.74359,13.8214,-14.565
56,21.2505,-6.89778,14.3527,-21.2505
57,24.9355,-4.78453,20.151,-24.9355
58,29.5078,-6.97104,22.5367,-29.5078
59,29.9672,-5.22231,24.7449,-29.9672
60,25.4223,-1.78092,23.6414,-25.4223
61,26.2623,-2.14809,24.1142,-26.2623
62,25.441,-4.09329,21.3477,-25.441
63,24.0343,-5.75496,18.2794,-24.0343
64,28.7745,-4.64292,24.1316,-28.7745
65,26.1551,-3.61325,22.5418,-26.1551
66,35.7172,-4.75226,30.9649,-35.7172
67,26.8684,-10.2561,16.6122,-26.8684
68,22.7935,-7.06275,15.7308,-22.7935
69,25.3389,-11.8791,13.4599,-25.3389
70,35.467,-8.45968,27.0073,-35.467
71,19.8138,-3.75514,16.0586,-19.8138
72,35.4536,-11.5077,23.9459,-35.4536
73,31.7257,-8.01407,23.7116,-31.7257
74,29.553,-10.8905,18.6625,-29.553
75,33.4942,-6.71413,26.7801,-33.4942
76,35.6545,-14.4062,21.2482,-35.6545
77,28.2842,-14.24,14.0442,-28.2842
78,31.3548,-12.0543,19.3005,-31.3548
79,35.6054,-17.9372,17.6682,-35.6054
80,33.3931,-18.6838,14.7093,-33.3931
81,34.487,-13.5161,20.9709,-34.487
82,35.8978,-17.5903,18.3075,-35.8978
83,41.2637,-9.47708,31.7866,-41.2637
84,35.3836,-9.27461,26.109,-35.3836
85,37.3718,-17.4078,19.9639,-37.3718
86,16.4831,-5.2681,11.215,-16.4831
87,38.6138,-20.7725,17.8413,-38.6138
88,36.8876,-10.1218,26.7658,-36.8876
89,40.8036,-23.0603,17.7433,-40.8036
90,28.7684,-14.043,14.7255,-28.7684
91,22.2577,-7.79002,14.4676,-22.2577
92,36.1147,-10.1354,25.9794,-36.1147
93,34.0897,-18.4212,15.6685,-34.0897
